s transe;p transe;o transe;head rank transe;tail rank transe;s conve;p conve;o conve;head rank conve;tail rank conve;s complex;p complex;o complex;head rank complex;tail rank complex
dirk_ii_count_of_holland;father;dirk_i_count_of_holland;433;186;dirk_ii_count_of_holland;father;dirk_i_count_of_holland;1;1;dirk_ii_count_of_holland;father;dirk_i_count_of_holland;1;1
frederick_ii_duke_of_lorraine;father;frederick_i_duke_of_lorraine;709;211;frederick_ii_duke_of_lorraine;father;frederick_i_duke_of_lorraine;2;2;frederick_ii_duke_of_lorraine;father;frederick_i_duke_of_lorraine;1;1
hemma;father;welf_father_of_judith;43;215;hemma;father;welf_father_of_judith;1;2;hemma;father;welf_father_of_judith;1;1
maria_antonia_ferdinanda_of_spain;father;philip_v_of_spain;1260;279;maria_antonia_ferdinanda_of_spain;father;philip_v_of_spain;15;19;maria_antonia_ferdinanda_of_spain;father;philip_v_of_spain;2;2
theobald_iii_count_of_champagne;father;henry_i_count_of_champagne;1116;285;theobald_iii_count_of_champagne;father;henry_i_count_of_champagne;129;374;theobald_iii_count_of_champagne;father;henry_i_count_of_champagne;2;2
conrad_i_of_burgundy;father;rudolph_ii_of_burgundy;138;320;conrad_i_of_burgundy;father;rudolph_ii_of_burgundy;1;1;conrad_i_of_burgundy;father;rudolph_ii_of_burgundy;1;1
philip_of_france_1116_1131;father;louis_vi_of_france;71;324;philip_of_france_1116_1131;father;louis_vi_of_france;1;2;philip_of_france_1116_1131;father;louis_vi_of_france;1;1
in_s_de_castro;father;pedro_fern_ndez_de_castro;602;328;in_s_de_castro;father;pedro_fern_ndez_de_castro;1;2;in_s_de_castro;father;pedro_fern_ndez_de_castro;1;1
bouchard_iv_of_avesnes;father;james_of_avesnes;891;354;bouchard_iv_of_avesnes;father;james_of_avesnes;3;2;bouchard_iv_of_avesnes;father;james_of_avesnes;1;1
nicholas_d_oisy_lord_of_avesnes;father;walter_i_lord_of_avesnes;128;356;nicholas_d_oisy_lord_of_avesnes;father;walter_i_lord_of_avesnes;1;3;nicholas_d_oisy_lord_of_avesnes;father;walter_i_lord_of_avesnes;1;1
john_i_duke_of_brittany;father;peter_i_duke_of_brittany;382;384;john_i_duke_of_brittany;father;peter_i_duke_of_brittany;1;1;john_i_duke_of_brittany;father;peter_i_duke_of_brittany;1;1
louis_philippe_i_duke_of_orl_ans;father;louis_duke_of_orl_ans_1703_1752;141;400;louis_philippe_i_duke_of_orl_ans;father;louis_duke_of_orl_ans_1703_1752;1;2;louis_philippe_i_duke_of_orl_ans;father;louis_duke_of_orl_ans_1703_1752;1;1
gisela_of_burgundy_marchioness_of_montferrat;father;william_i_count_of_burgundy;481;417;gisela_of_burgundy_marchioness_of_montferrat;father;william_i_count_of_burgundy;8;6;gisela_of_burgundy_marchioness_of_montferrat;father;william_i_count_of_burgundy;1;3
berthold_duke_of_merania;father;berthold_i_of_istria;538;438;berthold_duke_of_merania;father;berthold_i_of_istria;1;1;berthold_duke_of_merania;father;berthold_i_of_istria;1;2
frederick_iii_holy_roman_emperor;father;ernest_duke_of_austria;380;442;frederick_iii_holy_roman_emperor;father;ernest_duke_of_austria;1;1;frederick_iii_holy_roman_emperor;father;ernest_duke_of_austria;1;1
ernest_augustus_elector_of_hanover;father;george_duke_of_brunswic_calenberg;69;451;ernest_augustus_elector_of_hanover;father;george_duke_of_brunswic_calenberg;2;5;ernest_augustus_elector_of_hanover;father;george_duke_of_brunswic_calenberg;1;1
lambert_i_count_of_louvain;father;reginar_iii_count_of_hainaut;686;454;lambert_i_count_of_louvain;father;reginar_iii_count_of_hainaut;2;2;lambert_i_count_of_louvain;father;reginar_iii_count_of_hainaut;1;1
matilda_of_frisia;father;liudolf_margrave_of_frisia;1998;458;matilda_of_frisia;father;liudolf_margrave_of_frisia;1;1;matilda_of_frisia;father;liudolf_margrave_of_frisia;1;1
charles_iii_duke_of_savoy;father;philip_ii_duke_of_savoy;569;468;charles_iii_duke_of_savoy;father;philip_ii_duke_of_savoy;5;1;charles_iii_duke_of_savoy;father;philip_ii_duke_of_savoy;1;1
henry_ii_duke_of_brabant;father;henry_i_duke_of_brabant;793;472;henry_ii_duke_of_brabant;father;henry_i_duke_of_brabant;1;1;henry_ii_duke_of_brabant;father;henry_i_duke_of_brabant;1;1
ramon_berenguer_iii_count_of_barcelona;father;ramon_berenguer_ii_count_of_barcelona;158;520;ramon_berenguer_iii_count_of_barcelona;father;ramon_berenguer_ii_count_of_barcelona;4;3;ramon_berenguer_iii_count_of_barcelona;father;ramon_berenguer_ii_count_of_barcelona;1;1
lorenzo_de_medici;father;piero_di_cosimo_de_medici;470;523;lorenzo_de_medici;father;piero_di_cosimo_de_medici;2;3;lorenzo_de_medici;father;piero_di_cosimo_de_medici;1;2
mahaut_of_ch_tillon;father;guy_iv_count_of_saint_pol;1059;548;mahaut_of_ch_tillon;father;guy_iv_count_of_saint_pol;1;1;mahaut_of_ch_tillon;father;guy_iv_count_of_saint_pol;1;1
hugh_iii_duke_of_burgundy;father;odo_ii_duke_of_burgundy;1635;645;hugh_iii_duke_of_burgundy;father;odo_ii_duke_of_burgundy;2;2;hugh_iii_duke_of_burgundy;father;odo_ii_duke_of_burgundy;1;1
frederick_iii_duke_of_lorraine;father;matthias_ii_duke_of_lorraine;343;677;frederick_iii_duke_of_lorraine;father;matthias_ii_duke_of_lorraine;2;3;frederick_iii_duke_of_lorraine;father;matthias_ii_duke_of_lorraine;1;1
borrell_ii_count_of_barcelona;father;sunyer_count_of_barcelona;1274;684;borrell_ii_count_of_barcelona;father;sunyer_count_of_barcelona;2;3;borrell_ii_count_of_barcelona;father;sunyer_count_of_barcelona;1;1
beatriz_of_portugal_duchess_of_viseu;father;john_constable_of_portugal;387;749;beatriz_of_portugal_duchess_of_viseu;father;john_constable_of_portugal;2;13;beatriz_of_portugal_duchess_of_viseu;father;john_constable_of_portugal;1;2
maria_beatrice_d_este_duchess_of_massa;father;ercole_iii_d_este_duke_of_modena;1537;750;maria_beatrice_d_este_duchess_of_massa;father;ercole_iii_d_este_duke_of_modena;270;233;maria_beatrice_d_este_duchess_of_massa;father;ercole_iii_d_este_duke_of_modena;4;5
james_i_of_aragon;father;peter_ii_of_aragon;37;771;james_i_of_aragon;father;peter_ii_of_aragon;1;1;james_i_of_aragon;father;peter_ii_of_aragon;1;1
isabella_duchess_of_lorraine;father;charles_ii_duke_of_lorraine;132;778;isabella_duchess_of_lorraine;father;charles_ii_duke_of_lorraine;2;1;isabella_duchess_of_lorraine;father;charles_ii_duke_of_lorraine;1;1
eleanor_of_aquitaine;father;william_x_duke_of_aquitaine;271;789;eleanor_of_aquitaine;father;william_x_duke_of_aquitaine;1;3;eleanor_of_aquitaine;father;william_x_duke_of_aquitaine;1;1
bertha_of_holland;father;floris_i_count_of_holland;10;790;bertha_of_holland;father;floris_i_count_of_holland;2;1;bertha_of_holland;father;floris_i_count_of_holland;1;1
eleanor_of_alburquerque;father;sancho_alfonso;820;973;eleanor_of_alburquerque;father;sancho_alfonso;2;2;eleanor_of_alburquerque;father;sancho_alfonso;1;1
antoine_duke_of_lorraine;father;ren__ii_duke_of_lorraine;989;1045;antoine_duke_of_lorraine;father;ren__ii_duke_of_lorraine;1;1;antoine_duke_of_lorraine;father;ren__ii_duke_of_lorraine;1;1
berthold_i_of_istria;father;berthold_ii_count_of_andechs;554;1055;berthold_i_of_istria;father;berthold_ii_count_of_andechs;1228;1146;berthold_i_of_istria;father;berthold_ii_count_of_andechs;749;407
salomea_of_berg;father;henry_i_count_of_berg;1035;1064;salomea_of_berg;father;henry_i_count_of_berg;2596;864;salomea_of_berg;father;henry_i_count_of_berg;700;1747
ren__ii_duke_of_lorraine;father;frederick_ii_count_of_vaud_mont;33;1194;ren__ii_duke_of_lorraine;father;frederick_ii_count_of_vaud_mont;2;9;ren__ii_duke_of_lorraine;father;frederick_ii_count_of_vaud_mont;1;1
anna_maria_of_ostfriesland;father;enno_iii_count_of_east_frisia;1161;1261;anna_maria_of_ostfriesland;father;enno_iii_count_of_east_frisia;1;3;anna_maria_of_ostfriesland;father;enno_iii_count_of_east_frisia;1;1
margaret_of_baux;father;francis_of_baux;660;1305;margaret_of_baux;father;francis_of_baux;1;2;margaret_of_baux;father;francis_of_baux;1;1
henry_ii_count_of_louvain;father;lambert_ii_count_of_louvain;2057;1395;henry_ii_count_of_louvain;father;lambert_ii_count_of_louvain;2;1;henry_ii_count_of_louvain;father;lambert_ii_count_of_louvain;1;1
werner_ii_count_of_habsburg;father;otto_ii_count_of_habsburg;1089;1401;werner_ii_count_of_habsburg;father;otto_ii_count_of_habsburg;733;278;werner_ii_count_of_habsburg;father;otto_ii_count_of_habsburg;443;374
baldwin_v_count_of_hainaut;father;baldwin_iv_count_of_hainaut;1144;1442;baldwin_v_count_of_hainaut;father;baldwin_iv_count_of_hainaut;11;31;baldwin_v_count_of_hainaut;father;baldwin_iv_count_of_hainaut;1;2
adelaide_of_auxerre_born_c._870;father;conrad_ii_duke_of_transjurane_burgundy;464;1474;adelaide_of_auxerre_born_c._870;father;conrad_ii_duke_of_transjurane_burgundy;22;10;adelaide_of_auxerre_born_c._870;father;conrad_ii_duke_of_transjurane_burgundy;1;3
giovanni_il_popolano;father;pierfrancesco_the_elder;1686;1615;giovanni_il_popolano;father;pierfrancesco_the_elder;2;2;giovanni_il_popolano;father;pierfrancesco_the_elder;1;1
albert_azzo_ii_margrave_of_milan;father;albert_azzo_i_margrave_of_milan;1483;1625;albert_azzo_ii_margrave_of_milan;father;albert_azzo_i_margrave_of_milan;7;11;albert_azzo_ii_margrave_of_milan;father;albert_azzo_i_margrave_of_milan;1;1
hildegard_of_the_vinzgau;father;gerold_of_vinzgau;327;1697;hildegard_of_the_vinzgau;father;gerold_of_vinzgau;1;3;hildegard_of_the_vinzgau;father;gerold_of_vinzgau;1;1
otto_v_duke_of_brunswic_l_neburg;father;frederick_ii_duke_of_brunswic_l_neburg;1281;1884;otto_v_duke_of_brunswic_l_neburg;father;frederick_ii_duke_of_brunswic_l_neburg;3;3;otto_v_duke_of_brunswic_l_neburg;father;frederick_ii_duke_of_brunswic_l_neburg;1;1
engeltrude_de_f_zensac;father;leuthard_i_of_paris;229;1983;engeltrude_de_f_zensac;father;leuthard_i_of_paris;1;2;engeltrude_de_f_zensac;father;leuthard_i_of_paris;1;1
james_hepburn_4th_earl_of_bothwell;father;patrick_hepburn_3rd_earl_of_bothwell;280;2488;james_hepburn_4th_earl_of_bothwell;father;patrick_hepburn_3rd_earl_of_bothwell;279;550;james_hepburn_4th_earl_of_bothwell;father;patrick_hepburn_3rd_earl_of_bothwell;1833;1444
joan_countess_of_ponthieu;hasspouse;yes;3;1;joan_countess_of_ponthieu;hasspouse;yes;11;1;joan_countess_of_ponthieu;hasspouse;yes;1;1
robert_ii_of_scotland;hasspouse;yes;3;1;robert_ii_of_scotland;hasspouse;yes;61;1;robert_ii_of_scotland;hasspouse;yes;2;1
louis_duke_of_savoy;hasspouse;yes;6;1;louis_duke_of_savoy;hasspouse;yes;61;1;louis_duke_of_savoy;hasspouse;yes;3;1
john_of_montfort;hasspouse;yes;6;1;john_of_montfort;hasspouse;yes;1107;1;john_of_montfort;hasspouse;yes;5;1
valdemar_i_of_denmark;gender;male;9;1;valdemar_i_of_denmark;gender;male;172;1;valdemar_i_of_denmark;gender;male;8;1
antoine_duke_of_montpensier;hasspouse;yes;9;1;antoine_duke_of_montpensier;hasspouse;yes;282;1;antoine_duke_of_montpensier;hasspouse;yes;2;1
hemma;hasspouse;yes;9;1;hemma;hasspouse;yes;565;1;hemma;hasspouse;yes;3;1
charles_vi_of_france;hasspouse;yes;17;1;charles_vi_of_france;hasspouse;yes;297;1;charles_vi_of_france;hasspouse;yes;1;1
albert_i_of_germany;hasspouse;yes;17;1;albert_i_of_germany;hasspouse;yes;659;1;albert_i_of_germany;hasspouse;yes;1;1
isabella_duchess_of_lorraine;gender;female;18;1;isabella_duchess_of_lorraine;gender;female;249;1;isabella_duchess_of_lorraine;gender;female;8;1
fulk_king_of_jerusalem;hasspouse;yes;25;1;fulk_king_of_jerusalem;hasspouse;yes;318;1;fulk_king_of_jerusalem;hasspouse;yes;1;1
charles_iii_of_spain;hasspouse;yes;26;1;charles_iii_of_spain;hasspouse;yes;29;1;charles_iii_of_spain;hasspouse;yes;1;1
otto_ii_duke_of_bavaria;hasspouse;yes;28;1;otto_ii_duke_of_bavaria;hasspouse;yes;19;1;otto_ii_duke_of_bavaria;hasspouse;yes;7;1
margaret_of_bourbon_1438_1483;hasspouse;yes;30;1;margaret_of_bourbon_1438_1483;hasspouse;yes;46;1;margaret_of_bourbon_1438_1483;hasspouse;yes;4;1
odo_iv_duke_of_burgundy;hasspouse;yes;31;1;odo_iv_duke_of_burgundy;hasspouse;yes;576;1;odo_iv_duke_of_burgundy;hasspouse;yes;5;1
peter_i_duke_of_brittany;hasspouse;yes;32;1;peter_i_duke_of_brittany;hasspouse;yes;57;1;peter_i_duke_of_brittany;hasspouse;yes;8;1
afonso_ii_of_portugal;gender;male;32;1;afonso_ii_of_portugal;gender;male;157;1;afonso_ii_of_portugal;gender;male;2;1
louis_viii_of_france;hasspouse;yes;36;1;louis_viii_of_france;hasspouse;yes;42;1;louis_viii_of_france;hasspouse;yes;1;1
bertha_of_burgundy;hasspouse;yes;42;1;bertha_of_burgundy;hasspouse;yes;4;1;bertha_of_burgundy;hasspouse;yes;1;1
archduchess_anna_of_austria;gender;female;46;1;archduchess_anna_of_austria;gender;female;1;1;archduchess_anna_of_austria;gender;female;2;1
maria_teresa_felicitas_d_este;hasspouse;yes;47;1;maria_teresa_felicitas_d_este;hasspouse;yes;1;1;maria_teresa_felicitas_d_este;hasspouse;yes;3;1
maria_amalia_of_naples_and_sicily;gender;female;50;1;maria_amalia_of_naples_and_sicily;gender;female;169;1;maria_amalia_of_naples_and_sicily;gender;female;2;1
eleanor_of_england_queen_of_castile;hasspouse;yes;54;1;eleanor_of_england_queen_of_castile;hasspouse;yes;7;1;eleanor_of_england_queen_of_castile;hasspouse;yes;1;1
alfonso_xi_of_castile;hasspouse;yes;58;1;alfonso_xi_of_castile;hasspouse;yes;610;1;alfonso_xi_of_castile;hasspouse;yes;1;1
louis_antoine_duke_of_angoul_me;hasspouse;yes;58;1;louis_antoine_duke_of_angoul_me;hasspouse;yes;1585;1;louis_antoine_duke_of_angoul_me;hasspouse;yes;13;1
william_i_count_of_hainaut;gender;male;63;1;william_i_count_of_hainaut;gender;male;69;1;william_i_count_of_hainaut;gender;male;22;1
isabeau_of_bavaria;hasspouse;yes;64;1;isabeau_of_bavaria;hasspouse;yes;1;1;isabeau_of_bavaria;hasspouse;yes;9;1
reginar_iii_count_of_hainaut;gender;male;64;1;reginar_iii_count_of_hainaut;gender;male;427;1;reginar_iii_count_of_hainaut;gender;male;102;1
louis_vii_of_france;hasspouse;yes;72;1;louis_vii_of_france;hasspouse;yes;29;1;louis_vii_of_france;hasspouse;yes;1;1
dorothea_of_denmark_duchess_of_brunswic_l_neburg;hasspouse;yes;73;1;dorothea_of_denmark_duchess_of_brunswic_l_neburg;hasspouse;yes;1;1;dorothea_of_denmark_duchess_of_brunswic_l_neburg;hasspouse;yes;8;1
emmanuel_philibert_duke_of_savoy;hasspouse;yes;73;1;emmanuel_philibert_duke_of_savoy;hasspouse;yes;29;1;emmanuel_philibert_duke_of_savoy;hasspouse;yes;8;1
francis_ii_duke_of_lorraine;hasspouse;yes;74;1;francis_ii_duke_of_lorraine;hasspouse;yes;421;1;francis_ii_duke_of_lorraine;hasspouse;yes;5;1
constance_of_castile;hasspouse;yes;77;1;constance_of_castile;hasspouse;yes;5;1;constance_of_castile;hasspouse;yes;2;1
louis_xviii;gender;male;78;1;louis_xviii;gender;male;7;1;louis_xviii;gender;male;1;1
joanna_of_castile;hasspouse;yes;81;1;joanna_of_castile;hasspouse;yes;1;1;joanna_of_castile;hasspouse;yes;1;1
odo_ii_duke_of_burgundy;gender;male;86;1;odo_ii_duke_of_burgundy;gender;male;80;1;odo_ii_duke_of_burgundy;gender;male;181;1
magdalene_sibylle_of_prussia;hasspouse;yes;93;1;magdalene_sibylle_of_prussia;hasspouse;yes;3;1;magdalene_sibylle_of_prussia;hasspouse;yes;5;1
vladimir_the_great;gender;male;95;1;vladimir_the_great;gender;male;32;1;vladimir_the_great;gender;male;1;1
charles_vi_holy_roman_emperor;hasspouse;yes;107;1;charles_vi_holy_roman_emperor;hasspouse;yes;100;1;charles_vi_holy_roman_emperor;hasspouse;yes;2;1
ferdinand_i_of_the_two_sicilies;gender;male;107;1;ferdinand_i_of_the_two_sicilies;gender;male;725;1;ferdinand_i_of_the_two_sicilies;gender;male;1;1
jacquetta_of_luxembourg;hasspouse;yes;115;1;jacquetta_of_luxembourg;hasspouse;yes;53;1;jacquetta_of_luxembourg;hasspouse;yes;2;1
princess_elisabeth_albertine_of_saxe_hildburghausen;hasspouse;yes;127;1;princess_elisabeth_albertine_of_saxe_hildburghausen;hasspouse;yes;25;1;princess_elisabeth_albertine_of_saxe_hildburghausen;hasspouse;yes;2;1
adelaide_countess_of_burgundy;hasspouse;yes;139;1;adelaide_countess_of_burgundy;hasspouse;yes;17;1;adelaide_countess_of_burgundy;hasspouse;yes;17;1
violant_of_bar;gender;female;140;1;violant_of_bar;gender;female;58;1;violant_of_bar;gender;female;11;1
raymond_of_burgundy;hasspouse;yes;143;1;raymond_of_burgundy;hasspouse;yes;564;1;raymond_of_burgundy;hasspouse;yes;5;1
princess_christine_louise_of_oettinge_oettingen;gender;female;147;1;princess_christine_louise_of_oettinge_oettingen;gender;female;4;1;princess_christine_louise_of_oettinge_oettingen;gender;female;53;1
rozala_of_italy;hasspouse;yes;158;1;rozala_of_italy;hasspouse;yes;1;1;rozala_of_italy;hasspouse;yes;3;1
francis_ii_holy_roman_emperor;hasspouse;yes;170;1;francis_ii_holy_roman_emperor;hasspouse;yes;63;1;francis_ii_holy_roman_emperor;hasspouse;yes;1;1
william_the_younger_duke_of_brunswic_l_neburg;gender;male;172;1;william_the_younger_duke_of_brunswic_l_neburg;gender;male;36;1;william_the_younger_duke_of_brunswic_l_neburg;gender;male;3;1
charles_iii_duke_of_lorraine;gender;male;177;1;charles_iii_duke_of_lorraine;gender;male;233;1;charles_iii_duke_of_lorraine;gender;male;1;1
wierzchoslawa_ludmilla_of_greater_poland;hasspouse;yes;188;1;wierzchoslawa_ludmilla_of_greater_poland;hasspouse;yes;14;1;wierzchoslawa_ludmilla_of_greater_poland;hasspouse;yes;18;1
otto_iv_count_of_burgundy;hasspouse;yes;201;1;otto_iv_count_of_burgundy;hasspouse;yes;75;1;otto_iv_count_of_burgundy;hasspouse;yes;6;1
yolande_of_aragon;gender;female;201;1;yolande_of_aragon;gender;female;130;1;yolande_of_aragon;gender;female;6;1
charles_ix_of_france;gender;male;203;1;charles_ix_of_france;gender;male;164;1;charles_ix_of_france;gender;male;1;1
marie_de_medici;gender;female;204;1;marie_de_medici;gender;female;103;1;marie_de_medici;gender;female;2;1
charles_ferdinand_duke_of_berry;hasspouse;yes;208;1;charles_ferdinand_duke_of_berry;hasspouse;yes;61;1;charles_ferdinand_duke_of_berry;hasspouse;yes;2;1
antoine_duke_of_lorraine;gender;male;225;1;antoine_duke_of_lorraine;gender;male;14;1;antoine_duke_of_lorraine;gender;male;1;1
igor_of_kiev;hasspouse;yes;234;1;igor_of_kiev;hasspouse;yes;666;1;igor_of_kiev;hasspouse;yes;11;1
charles_emmanuel_iii_of_sardinia;hasspouse;yes;235;1;charles_emmanuel_iii_of_sardinia;hasspouse;yes;1509;1;charles_emmanuel_iii_of_sardinia;hasspouse;yes;3;1
mary_queen_of_scots;gender;female;251;1;mary_queen_of_scots;gender;female;24;1;mary_queen_of_scots;gender;female;1;1
barbara_jagiellon;gender;female;254;1;barbara_jagiellon;gender;female;172;1;barbara_jagiellon;gender;female;90;1
barbara_jagiellon;hasspouse;yes;269;1;barbara_jagiellon;hasspouse;yes;73;1;barbara_jagiellon;hasspouse;yes;10;1
alys_of_france_countess_of_vexin;gender;female;276;1;alys_of_france_countess_of_vexin;gender;female;20;1;alys_of_france_countess_of_vexin;gender;female;5;1
maria_of_montpellier;gender;female;283;1;maria_of_montpellier;gender;female;128;1;maria_of_montpellier;gender;female;55;1
robert_duke_of_bar;gender;male;285;1;robert_duke_of_bar;gender;male;81;1;robert_duke_of_bar;gender;male;42;1
countess_palatine_dorothea_sophie_of_neuburg;gender;female;294;1;countess_palatine_dorothea_sophie_of_neuburg;gender;female;61;1;countess_palatine_dorothea_sophie_of_neuburg;gender;female;11;1
ramon_borrell_count_of_barcelona;gender;male;305;1;ramon_borrell_count_of_barcelona;gender;male;4;1;ramon_borrell_count_of_barcelona;gender;male;26;1
louis_antoine_duke_of_angoul_me;gender;male;322;1;louis_antoine_duke_of_angoul_me;gender;male;1421;1;louis_antoine_duke_of_angoul_me;gender;male;36;1
countess_sophia_albertine_of_erbach_erbach;gender;female;325;1;countess_sophia_albertine_of_erbach_erbach;gender;female;59;1;countess_sophia_albertine_of_erbach_erbach;gender;female;48;1
elizabeth_charlotte_madame_palatine;hasspouse;yes;329;1;elizabeth_charlotte_madame_palatine;hasspouse;yes;5;1;elizabeth_charlotte_madame_palatine;hasspouse;yes;8;1
carloman_ii;gender;male;331;1;carloman_ii;gender;male;1874;1;carloman_ii;gender;male;13;1
elizabeth_mure;hasspouse;yes;339;1;elizabeth_mure;hasspouse;yes;1;1;elizabeth_mure;hasspouse;yes;8;1
dangereuse_de_l_isle_bouchard;hasspouse;yes;342;1;dangereuse_de_l_isle_bouchard;hasspouse;yes;24;1;dangereuse_de_l_isle_bouchard;hasspouse;yes;17;1
adelaide_of_auxerre_born_c._870;gender;female;345;1;adelaide_of_auxerre_born_c._870;gender;female;74;1;adelaide_of_auxerre_born_c._870;gender;female;4;1
louis_the_stammerer;gender;male;348;1;louis_the_stammerer;gender;male;4;1;louis_the_stammerer;gender;male;1;1
marie_of_brabant_queen_of_france;gender;female;348;1;marie_of_brabant_queen_of_france;gender;female;128;1;marie_of_brabant_queen_of_france;gender;female;4;1
matilda_of_ringelheim;hasspouse;yes;402;1;matilda_of_ringelheim;hasspouse;yes;7;1;matilda_of_ringelheim;hasspouse;yes;8;1
ingeborg_of_denmark_queen_of_france;gender;female;409;1;ingeborg_of_denmark_queen_of_france;gender;female;187;1;ingeborg_of_denmark_queen_of_france;gender;female;8;1
yolande_duchess_of_lorraine;gender;female;441;1;yolande_duchess_of_lorraine;gender;female;187;1;yolande_duchess_of_lorraine;gender;female;23;1
henry_v_of_england;gender;male;452;1;henry_v_of_england;gender;male;50;1;henry_v_of_england;gender;male;1;1
thierry_count_of_flanders;gender;male;457;1;thierry_count_of_flanders;gender;male;117;1;thierry_count_of_flanders;gender;male;56;1
sancho_alfonso;gender;male;467;1;sancho_alfonso;gender;male;79;1;sancho_alfonso;gender;male;72;1
berengaria_of_barcelona;gender;female;487;1;berengaria_of_barcelona;gender;female;25;1;berengaria_of_barcelona;gender;female;2;1
ogive_of_luxembourg;gender;female;487;1;ogive_of_luxembourg;gender;female;1390;1;ogive_of_luxembourg;gender;female;165;1
eleanor_of_aragon_queen_of_castile;gender;female;489;1;eleanor_of_aragon_queen_of_castile;gender;female;1328;1;eleanor_of_aragon_queen_of_castile;gender;female;186;1
maredudd_ap_tudur;gender;male;526;1;maredudd_ap_tudur;gender;male;668;1;maredudd_ap_tudur;gender;male;230;1
francesco_iii_d_este_duke_of_modena;gender;male;527;1;francesco_iii_d_este_duke_of_modena;gender;male;185;1;francesco_iii_d_este_duke_of_modena;gender;male;62;1
hildegarde_of_burgundy;hasspouse;yes;532;1;hildegarde_of_burgundy;hasspouse;yes;4;1;hildegarde_of_burgundy;hasspouse;yes;11;1
marie_of_blois_duchess_of_anjou;hasspouse;yes;547;1;marie_of_blois_duchess_of_anjou;hasspouse;yes;1;1;marie_of_blois_duchess_of_anjou;hasspouse;yes;8;1
caterina_sforza;hasspouse;yes;585;1;caterina_sforza;hasspouse;yes;3;1;caterina_sforza;hasspouse;yes;10;1
anna_of_nassau_dillenburg;gender;female;585;1;anna_of_nassau_dillenburg;gender;female;509;1;anna_of_nassau_dillenburg;gender;female;236;1
charles_ii_of_naples;gender;male;608;1;charles_ii_of_naples;gender;male;57;1;charles_ii_of_naples;gender;male;36;1
philip_william_elector_palatine;gender;male;621;1;philip_william_elector_palatine;gender;male;468;1;philip_william_elector_palatine;gender;male;92;1
sviatopolk_i_of_kiev;hasspouse;no;668;1;sviatopolk_i_of_kiev;hasspouse;no;976;1;sviatopolk_i_of_kiev;hasspouse;no;154;1
magnus_i_duke_of_brunswic_l_neburg;gender;male;746;1;magnus_i_duke_of_brunswic_l_neburg;gender;male;134;1;magnus_i_duke_of_brunswic_l_neburg;gender;male;133;1
christian_iii_count_palatine_of_zweibr_cken;gender;male;767;1;christian_iii_count_palatine_of_zweibr_cken;gender;male;534;1;christian_iii_count_palatine_of_zweibr_cken;gender;male;71;1
princess_augusta_sophia_of_the_united_kingdom;hasspouse;no;789;1;princess_augusta_sophia_of_the_united_kingdom;hasspouse;no;1248;1;princess_augusta_sophia_of_the_united_kingdom;hasspouse;no;47;1
iziaslav_i_of_kiev;hasspouse;no;793;1;iziaslav_i_of_kiev;hasspouse;no;1089;1;iziaslav_i_of_kiev;hasspouse;no;18;1
archduke_maximilian_francis_of_austria;hasspouse;no;820;1;archduke_maximilian_francis_of_austria;hasspouse;no;966;1;archduke_maximilian_francis_of_austria;hasspouse;no;58;1
bathilde_d_orl_ans;hasspouse;no;820;1;bathilde_d_orl_ans;hasspouse;no;1270;1;bathilde_d_orl_ans;hasspouse;no;240;1
margaret_of_cleves_duchess_of_bavaria_munich;hasspouse;no;854;1;margaret_of_cleves_duchess_of_bavaria_munich;hasspouse;no;968;1;margaret_of_cleves_duchess_of_bavaria_munich;hasspouse;no;207;1
theobald_ii_of_navarre;hasspouse;no;866;1;theobald_ii_of_navarre;hasspouse;no;993;1;theobald_ii_of_navarre;hasspouse;no;56;1
gaston_de_foix_count_of_candale;hasspouse;yes;867;1;gaston_de_foix_count_of_candale;hasspouse;yes;59;1;gaston_de_foix_count_of_candale;hasspouse;yes;21;1
alexander_stewart_earl_of_buchan;hasspouse;no;889;1;alexander_stewart_earl_of_buchan;hasspouse;no;1010;1;alexander_stewart_earl_of_buchan;hasspouse;no;208;1
philip_count_of_longueville;hasspouse;no;909;1;philip_count_of_longueville;hasspouse;no;1120;1;philip_count_of_longueville;hasspouse;no;38;1
ludmilla_of_bohemia;hasspouse;yes;926;1;ludmilla_of_bohemia;hasspouse;yes;1;1;ludmilla_of_bohemia;hasspouse;yes;10;1
archduchess_maria_elisabeth_of_austria_born_1737;hasspouse;no;932;1;archduchess_maria_elisabeth_of_austria_born_1737;hasspouse;no;954;1;archduchess_maria_elisabeth_of_austria_born_1737;hasspouse;no;46;1
gerolf_of_holland;hasspouse;no;934;1;gerolf_of_holland;hasspouse;no;1270;1;gerolf_of_holland;hasspouse;no;123;1
charles_ii_of_spain;hasspouse;no;947;1;charles_ii_of_spain;hasspouse;no;922;1;charles_ii_of_spain;hasspouse;no;3;1
ferdinand_iii_grand_duke_of_tuscany;hasspouse;no;980;1;ferdinand_iii_grand_duke_of_tuscany;hasspouse;no;1228;1;ferdinand_iii_grand_duke_of_tuscany;hasspouse;no;61;1
frederick_iii_duke_of_austria;hasspouse;no;994;1;frederick_iii_duke_of_austria;hasspouse;no;1054;1;frederick_iii_duke_of_austria;hasspouse;no;162;1
prince_christian_of_hesse_darmstadt;hasspouse;no;996;1;prince_christian_of_hesse_darmstadt;hasspouse;no;1316;1;prince_christian_of_hesse_darmstadt;hasspouse;no;201;1
